channel_id,video_id,playlist_id,channelTitle,title,description,tags,publishedAt,defaultAudioLanguage,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
UCBi2mrWuNuyYy4gbM6fU18Q,BEg8Z7wPK9c,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,Americans divided over policing in schools,"Ben Fisher, assoc. professor of civil society and community studies, joins ABC News Live to discuss the role of school safety officer and weigh the pros and cons on policing U.S. schools.

Watch ABC News Live 24/7 on YouTube: https://youtube.com/live/OOtxXPaQvoM
SUBSCRIBE to ABC News on YouTube: https://bit.ly/2vZb6yP
Latest updates: https://abcnews.go.com/
Watch full episodes on Hulu: http://abcn.ws/3bzvQQn

#news #police #schools #abcnews","['news', 'breaking news', 'live news', 'daily news', 'world news', 'us news', 'americans divided', 'policing', 'schools', 'ben fisher', 'assoc professor', 'civil society', 'community studies', 'role', 'school safety officer', 'pros and cons', 'policing schools', 'abcnl', 'abc', 'abc news', 'updates', 'p_cmsid=2494279', 'p_vid=news-104863315']",2023-11-23T11:00:13Z,en-US,4025,36,,29,PT4M17S,hd,true
UCBi2mrWuNuyYy4gbM6fU18Q,K01SAfbzpAk,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,Man proposes to girlfriend in front of her students,"Teacher Rachel Leebold said, “I love my second graders and am so glad I got to share this moment with them.”

Watch ABC News Live 24/7 on YouTube: https://youtube.com/live/OOtxXPaQvoM
SUBSCRIBE to ABC News on YouTube: https://bit.ly/2vZb6yP
Latest updates: https://abcnews.go.com/
Watch full episodes on Hulu: http://abcn.ws/3bzvQQn

#news #police #schools #abcnews","['news', 'breaking news', 'live news', 'daily news', 'world news', 'us news', 'kids', 'students', 'purposal', 'purpose', 'marriage', 'wife', 'husbands', 'fiancé', 'teachers', 'school', 'ABC', 'ABC News', 'World News Tonight', 'p_cmsid=2494279', 'p_vid=news-104862864']",2023-11-23T10:00:18Z,en-US,3889,71,,20,PT1M40S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,_KQi4HtTnIM,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,"Examining the debate over book bans, CRT, and ‘parental rights’","Columbia University professor Sonya Douglass joins ABC News Live anchor Diane Macedo to discuss how school boards across America appear to be moving to the left in several states.

WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#news #bookbans #crt #abcnews","['abc', 'bans', 'board', 'book', 'crt', 'election', 'news', 'p_cmsid=2494279', 'p_vid=news-104916183', 'parental', 'rights', 'school']",2023-11-23T08:00:29Z,,1707,22,,26,PT3M39S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,wKzwPVBrNUw,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,Tiktok’s finance bestie: Vivan Tu with ABC News Live,"Finance expert Vivan Tu, founder and CEO of ""Your Rich BFF"" joins ABC News Live to share her tips on managing student loans.

WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#news #studentloans #viviantu #news","['abc', 'abcnl', 'assistance', 'bff', 'ceo', 'finances', 'loans', 'news', 'p_cmsid=2494279', 'p_vid=news-104963986', 'rich', 'student', 'tips.', 'tricks', 'tu', 'vivan', 'your']",2023-11-23T07:00:23Z,,811,11,,1,PT5M6S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,cbksjpWdta0,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,School drop outs get second chance as adults,"Byron Pitts heads back to his hometown of Baltimore and follows the journey of adults who attend a special program to earn their high school diploma, at no charge.

WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#news #higschool #diploma","['Baltimore', 'abc', 'abcnews', 'adult', 'diploma', 'education', 'ged', 'high', 'p_cmsid=2494279', 'p_vid=news-104970278', 'program', 'school', 'special']",2023-11-22T19:00:27Z,,23980,452,,100,PT7M20S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,ahc_COBsWVk,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,How teachers are handling safety concerns in US schools,"Teacher and co-founder of “Teachers Unify to End Gun Violence,” Sari Beth Rosenberg joins ABC News to discuss today’s schools, including low pay, teacher burnout, and controversial topics.

WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#news #teachers #gunviolence #news","['abc', 'abcnl', 'american', 'concerns', 'education', 'news', 'p_cmsid=2494279', 'p_vid=news-104994016', 'safety', 'schools', 'students', 'teachers']",2023-11-23T06:00:01Z,,1660,24,,5,PT5M53S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,yrGe2nDgN_w,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,Why some colleges are dropping testing requirements,"The executive director of FairTest, Harry Feder, talks about why some colleges are going test-free for admissions.

WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#colleges #education #news","['ABC', 'ABCNL', 'Fader', 'FairTest', 'Harry', 'admissions', 'colleges', 'director', 'dropping', 'executive', 'p_cmsid=2494279', 'p_vid=news-104954480', 'requirements', 'talks', 'test-free', 'testing']",2023-11-23T05:00:38Z,,7960,112,,44,PT6M50S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,-QQn0WNQcMQ,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,"Recess is not required in all schools, but should it be?","Recess is a time to get out of the classroom and take a break from academics. ABC News’ Morgan Norwood takes a look at recess and how it plays into the school day.

WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#recess #school #classroom #news","['abc', 'activity', 'break', 'breaks', 'children', 'education', 'exercise', 'mental', 'news', 'p_cmsid=2494279', 'p_vid=news-104986356', 'recess', 'schools']",2023-11-22T18:14:12Z,,1918,25,,9,PT2M31S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,PpIqFEMkpVg,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,The American Classroom: Texas school district tackles teacher shortages,"ABC News' Mireya Villarreal reports from Mesquite, Texas, on the nationwide teacher shortage since the pandemic and the efforts of one school district to recruit and retain teachers.

ABC News Live Prime, Weekdays at 7EST & 9EST

WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#Education #America #Texas #TeacherShortage #Pandemic #ABCNLPrime","['abc', 'abcnl', 'america', 'american', 'classroom', 'district', 'education', 'future', 'mesquite', 'nationwide', 'news', 'p_cmsid=2494279', 'p_vid=news-104897046', 'pandemic', 'prime', 'recruit', 'retain', 'school', 'shortage', 'shortages', 'teacher', 'texas', 'the', 'week']",2023-11-15T04:40:00Z,,19469,325,,122,PT9M6S,hd,false
UCBi2mrWuNuyYy4gbM6fU18Q,wQ5fp6ka5Dc,PLQOa26lW-uI9Q0tTZyxXxFS4-4QOxqkYp,ABC News,Incarcerated students graduate from top ten university for first time in US history,"ABC News' Alex Perez speaks to recent graduates from the Northwestern University Prison Education Program about how the program has impacted their lives.

ABC News Live Prime, Weekdays at 7EST & 9EST 
WATCH the ABC News Live Stream Here: https://www.youtube.com/watch?v=w_Ma8oQLmSM 
SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP 
Watch More on http://abcnews.go.com/ 
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews 
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#education #incarceration #abcnews #abcnlprime","['US', 'abc', 'education', 'graduation', 'history', 'incarceration', 'news', 'northwestern', 'p_cmsid=2494279', 'p_vid=news-104995919', 'prime', 'prison', 'program', 'students', 'university']",2023-11-18T02:30:32Z,,36296,730,,149,PT6M59S,hd,false
